Provincia,Pct_Pared_Ladrillo,Pct_Techo_Concreto,Pct_Pisos_Solicitados
CARAVELÍ,49.68665311653117,35.78082655826558,90.9298780487805
CASTILLA,31.06796116504854,23.4198533782445,94.06578165246681
CAYLLOMA,48.75146455770357,25.637082601054484,96.17018160515525
CONDESUYOS,17.10580485796624,10.189378344997941,98.5384932070811
ISLAY,65.46622542339887,50.866264356628385,83.40146648497826
LA UNIÓN,4.031117397454031,2.7817067421027817,99.45780292314946
HUAMANGA,48.24353957948145,45.10613292055439,86.56031875707673
CANGALLO,4.485744867179138,3.425124063442639,99.63024228860561
HUANCA SANCOS,6.955922865013774,6.7837465564738295,99.31129476584022
HUANTA,20.020036064916848,15.772390302544581,96.44960929673412
LA MAR,18.51328984519521,11.56167851231623,98.28156946743258
LUCANAS,4.825396825396826,3.186147186147186,99.41702741702741
PARINACOCHAS,6.9351518270715395,3.3324755532681416,99.3309315491508
PÁUCAR DEL SARA SARA,6.338481338481339,2.413127413127413,98.87387387387388
SUCRE,3.4040011943863844,2.9859659599880564,99.55210510600179
VÍCTOR FAJARDO,3.813089295618414,3.2584581253466443,99.23738214087632
VILCAS HUAMÁN,3.361070321422744,2.741067058247675,99.55947136563876
CAJAMARCA,45.05164297792605,37.9221699191079,81.64160687354325
CAJABAMBA,9.366623647374169,7.17263972997121,98.56050828948675
CELENDÍN,8.327185940551097,4.703840312432198,98.91516597960512
CHOTA,17.68354045262,9.075803318589248,96.94586814575581
CONTUMAZÁ,7.312049433573635,4.474196132280581,97.99748254949078
CUTERVO,12.187683612657732,8.15589938725833,98.30446825774321
HUALGAYOC,15.147886480660999,9.986827924799426,97.85255258851235
JAÉN,34.30564744090937,24.494296425492674,91.73031815721417
SAN IGNACIO,8.668481279857794,4.013442950783246,98.65292745250528
SAN MARCOS,13.185682940208448,11.005211190345584,98.29264947888096
SAN MIGUEL,4.859639830508475,1.7213983050847457,99.47033898305084
SAN PABLO,3.698501872659176,2.0599250936329585,99.31335830212234
SANTA CRUZ,5.175321793164669,2.2458943630714603,99.005770084332
PROVINCIA CONSTITUCIONAL DEL CALLAO,74.7831059553958,64.10301445960297,61.278490319418346
CUSCO,52.33750035168009,35.79634440265964,67.03397698605471
ACOMAYO,1.448225923244026,0.6517016654598118,99.88414192614047
ANTA,11.605590262124043,6.318026663231789,98.27397436723128
CALCA,8.771254058218236,4.798327188686513,97.52930171132999
CANAS,1.302405171594258,0.8175682099058846,99.85740089362106
CANCHIS,13.647050180001468,8.761296010579677,97.35508044963632
CHUMBIVILCAS,4.474576271186441,5.975786924939467,99.28329297820824
ESPINAR,17.879278575018148,13.674688704003573,98.21318889943603
LA CONVENCIÓN,16.95282628284747,9.361681400842649,97.6814982586883
PARURO,1.4084507042253522,0.9597407453570983,99.8005733516141
PAUCARTAMBO,2.9228960188140434,1.1002855703006889,99.79002183772889
QUISPICANCHI,8.72167048637637,4.931669637551991,97.82276546982429
URUBAMBA,15.809868251097908,8.99638336347197,94.29733918884008
HUANCAVELICA,25.71375545176158,23.681524328002723,94.03012774907977
ACOBAMBA,3.8667141838916606,3.1450463292943693,99.31397006414825
ANGARAES,11.722607886638517,10.126672869104702,98.43984827882345
CASTROVIRREYNA,4.686884600236314,2.7569909413154785,99.60614415124066
CHURCAMPA,4.6999276934201015,3.65664704059498,99.24594566676997
HUAYTARÁ,5.1560801366671845,4.037894082932132,98.86628358440753
TAYACAJA,4.894528675016479,3.831575477916941,99.27900461437046
HUÁNUCO,41.83358382292663,37.67727831670993,84.4350321082115
AMBO,17.949968643300117,13.587903282001253,97.17092885513205
DOS DE MAYO,3.6445751496691527,2.132128978048524,99.43283268564227
HUACAYBAMBA,0.4358353510895884,0.3389830508474576,99.9273607748184
HUAMALÍES,5.638868154984054,1.4656985818009094,99.69464612879148
LEONCIO PRADO,55.04146793450193,24.19114743141842,90.25731384998633
MARAÑÓN,5.584543787900155,0.9307572979833592,99.76025948385278
PACHITEA,9.14496462441668,3.9440012042751773,99.46560289026043
PUERTO INCA,7.6279922116596035,1.488947428702325,98.94628335814912
LAURICOCHA,1.5364916773367476,0.8048289738430584,99.83537589171392
YAROWILCA,0.969962453066333,0.5632040050062578,99.93742177722153
ICA,71.929526851667,62.10421241764823,74.67258933918946
CHINCHA,67.08089753911857,45.13249553680821,81.56089193825042
NAZCA,61.10806089343649,49.17893686049414,80.32443224357375
PALPA,50.96946194861852,41.05671352399418,90.18419777023752
PISCO,70.26664013530993,52.00228832951945,78.72848472788777
HUANCAYO,66.91360202251815,57.71085045712437,78.39609606961226
CONCEPCIÓN,24.442992486115646,17.72623325710552,95.87063051290427
CHANCHAMAYO,60.75218589052581,22.62306863097377,94.301113905857
JAUJA,28.026282537275716,19.21489343778957,96.39878695981804
JUNÍN,36.19382782891175,4.3178126691932865,98.7547374120195
SATIPO,24.08690989255427,11.032551488550377,97.87889019086016
TARMA,27.025620496397117,19.33146517213771,93.11048839071256
YAULI,59.58756841282252,38.487099296325255,79.18295543393276
CHUPACA,41.0614133482894,30.762759394279303,95.24677509814919
TRUJILLO,69.38686259074609,63.27341905011807,68.364383801277
ASCOPE,42.89441527131015,36.51375540803857,89.5505135572509
BOLÍVAR,1.2976901116013497,0.7007526602647288,99.84427718660783
